1,http://tinyurl.com/j37b36q,0
73,http://tinyurl.com/gt2gmk2,0
83,http://tinyurl.com/zu5grcv,0.8
84,http://tinyurl.com/gl63nhl,0.33
87,http://tinyurl.com/jkpucs5,0.33
115,http://tinyurl.com/z4cfrm9,0.33
119,http://tinyurl.com/h8cqyrg,0
120,http://tinyurl.com/zjw2hlu,0
131,http://tinyurl.com/hutgnpv,0.33
132,http://tinyurl.com/jzft26z,0.33
140,http://tinyurl.com/gp6oeg6,0.33
145,http://tinyurl.com/zjx83wr,0.33
168,http://tinyurl.com/j3zcr6m,0.33 
247,http://tinyurl.com/j2szlsn,0.1
259,http://tinyurl.com/jf8yw9n,0.2
260,http://tinyurl.com/zc7ngvw,0.33
261,http://tinyurl.com/h7gplba,0.8
262,http://tinyurl.com/h8q76zp,0.2
263,http://tinyurl.com/hpv37j5,0.8
265,http://tinyurl.com/jghghh5,0.8
266,http://tinyurl.com/zolw65y,0.8
267,http://tinyurl.com/zp9hj3g,0.8
268,http://tinyurl.com/jynp9p5,0
287,http://tinyurl.com/hqms77x,0.33
294,http://tinyurl.com/juzqtgy,0.33
302,http://tinyurl.com/zv29pd9,0.8
317,http://tinyurl.com/gs55gqb,0.33
322,http://tinyurl.com/hkxms5f,0.33
334,http://tinyurl.com/hjcfjyo,0.33
385,http://tinyurl.com/h8ote87,0.33
427,http://tinyurl.com/h6lybor,0.8
521,http://tinyurl.com/hbaz7wc,0.8
579,http://tinyurl.com/hh5a2ow,0.5
581,http://tinyurl.com/hxsnotz,0.5
591,http://tinyurl.com/zxk2rhn,0.5
592,http://tinyurl.com/je5u4r8,0.5
593,http://tinyurl.com/z8u9njw,0.5
611,http://tinyurl.com/zh95a2e,0.5
27,http://tinyurl.com/zzhpgjq,0.7
31,http://tinyurl.com/z7cvcl6,1
39,http://tinyurl.com/zsd52av,1
54,http://tinyurl.com/jdbzeo8,1
65,http://tinyurl.com/zalr3vt,1
66,http://tinyurl.com/gslbrhj,1
71,http://tinyurl.com/j4m2nne,0.7
108,http://tinyurl.com/jovs62t,0
109,http://tinyurl.com/zblw9vh,0
114,http://tinyurl.com/j6vmeuh,1
117,http://tinyurl.com/z6327w7,0
133,http://tinyurl.com/hhjvbeu,0.8
134,http://tinyurl.com/hly45yq,0.8
157,http://tinyurl.com/zqjfhvd,0
172,http://tinyurl.com/h6hpp4d,0
215,http://tinyurl.com/zjtjfzl,0
219,http://tinyurl.com/zptlcke,1
232,http://tinyurl.com/hd7wpjq,1
255,http://tinyurl.com/h2ks77q,0
270,http://tinyurl.com/hxsgf5q,0.8
271,http://tinyurl.com/hmnwsxh,1
286,http://tinyurl.com/jzwruev,0.8
289,http://tinyurl.com/glhpggs,1
290,http://tinyurl.com/hjdboup,1
